Date,Playtime per user 1.2,Playtime per user 1.8,Playtime per user 2.0,Playtime per user 1.7,Playtime per user 1.9
2026-07-20,1131,122.57142857142857,484.25,,492.45581395348836
2026-07-21,,881.25,291.825,,498.37304452466907
2026-07-22,,122.5,596.5211009174312,5,725.0897832817337
2026-07-23,,1906,655.568253968254,1657,509.4193548387097
2026-07-24,,399,598.4231805929919,1,521.8518518518518
2026-07-25,,56,606.7971014492754,,619.4878048780488
2026-07-26,,791.25,655.4550229809587,,515
